Flow,VolFlow,P_bar,T_C,MA,Power,S6_Pres,Method,SS_MassFlow,SS_VolFlow,SS_SuctionP,SS_DischargeP,SS_Ratio,SS_Duty_kW,SS_LMTD,SS_MinAppr,SS_UA_kWC,SS_ExpInletT
500,3500,3.0,-111.0,1.982915667784681,661.3142726099409,14.059313292960745,Anchor,3.2360617520464654,0.9926589530722442,300.0,1405.9313292960744,4.686437764320249,648.3475037922551,8.237734354086383,1.982915667784681,0.0787045898694995,-110.99999860325133
500,3550,3.0,-111.0,1.8581693670948525,659.4270861321883,14.128121815630257,Anchor,3.2137240715043376,0.9861111111111112,300.0,1412.8121815630257,4.709373938543419,644.8765953878769,8.078920822914169,1.8581693670948525,0.07982212098908302,-110.9999038130185
500,3600,3.0,-111.0,2.1214316069465156,663.5098822562395,13.980371718507385,Anchor,3.2617765289228187,1.000000748566167,300.0,1398.0371718507386,4.660123906169129,652.3576886830701,8.405972603940823,2.1214316069465156,0.07760644953532644,-110.99999807926974
500,3650,3.0,-111.0,2.3203151181996304,667.6797719852641,13.812928084495711,Anchor,3.3093611924760493,1.0138888888888888,300.0,1381.292808449571,4.60430936149857,659.7003242605346,8.614037602423927,2.3203151181996304,0.07658433300487331,-110.9998926275191
500,3700,3.0,-111.0,2.182085206741931,671.324364947435,13.599357629021345,Anchor,3.3554932024035895,1.0277777777777777,300.0,1359.9357629021345,4.533119209673782,666.7053017534856,8.615973931905925,2.182085206741931,0.0773801437913595,-111.00000000035814
500,3750,3.0,-111.0,0.47327044933052775,678.7526954953712,12.952908570070097,Anchor,3.4491735113699207,1.0577282582047451,300.0,1295.2908570070097,4.317636190023365,680.440076333237,7.761621983521528,0.47327044933052775,0.08766725276982817,-111.00003051440095
500,3800,3.0,-111.0,0.6359706660603592,678.1662480346904,13.01265522027747,Anchor,3.4427439212508366,1.0555555555555556,300.0,1301.265522027747,4.33755174009249,679.5409739725129,7.887887031941748,0.6359706660603592,0.08614993739397298,-111.00022832956725
600,3500,3.4,-106.69128912504976,1.3867248182915262,719.3930700406696,16.276964462071742,Secant,3.585561496622978,0.9722222222222221,340.0,1627.6964462071742,4.78734248884463,717.2913604079617,7.528861897769702,1.3867248182915262,0.0952722164581671,-106.69126839416683
600,3550,3.4,-105.92464428440566,1.204878176306778,722.9572846568223,16.175120680659358,Secant,3.6336637212627685,0.9833865342426942,340.0,1617.5120680659359,4.757388435488046,721.5220014879658,8.364066313448703,1.204878176306778,0.0862645003576574,-105.92463463559062
600,3600,3.4,-106.9653885797164,1.7486310368748832,727.1492373089334,16.051446834691042,Secant,3.6715114417607992,0.9939533771612191,340.0,1605.1446834691042,4.72101377490913,731.5241928662992,8.22983916552272,1.7486310368748832,0.08888681517992174,-106.96548342565339
600,3650,3.4,-107.60843027471444,1.680583482470098,733.9910964418239,15.79108627691987,Secant,3.747135425321355,1.0138888888888888,340.0,1579.108627691987,4.644437140270551,745.6638954551216,8.403501420321039,1.680583482470098,0.08873252447509375,-107.60743332003602
600,3700,3.4,-108.17764563346894,1.8249876932861753,737.2994953528225,15.654814965577591,Secant,3.7790123063396286,1.0226723758030185,340.0,1565.481496557759,4.604357342816939,752.813792667557,8.275811784248784,1.8249876932861753,0.09096555266038976,-108.17763415984311
600,3750,3.4,-108.26262108557623,1.0594904566628998,742.8445871280549,15.286351679433274,Secant,3.8495327111555855,1.0416666666666667,340.0,1528.6351679433274,4.4959857880686105,763.602899788912,8.168056866075847,1.0594904566628998,0.09348648182903349,-108.26297155575489
600,3800,3.6,-110.0,2.3309139712951605,787.9729458008688,15.873674386757727,Secant,4.158385125355163,1.0555555555555556,360.0,1587.3674386757727,4.409353996321591,822.4034771502031,10.81017722738542,2.3309139712951605,0.07607678022769215,-109.99975292406634
700,3500,3.9,-105.2577649345409,2.026779091010809,804.9615831017186,18.82035743763563,Secant,4.12180941375913,0.9722222222222221,390.0,1882.0357437635628,4.825732676316828,826.4585184673817,8.81326585888956,2.026779091010809,0.09377437736475053,-105.2583012107944
700,3550,3.9,-105.91576309730583,2.2111779448548248,811.1570970936662,18.666319223140775,Secant,4.183313417577999,0.9861111111111112,390.0,1866.6319223140774,4.786235698241224,838.9631464276599,9.063207032382682,2.2111779448548248,0.09256802183046896,-105.91633487937884
700,3600,3.9,-107.42310674388794,1.9846255693620378,816.8318859863558,18.503643229298703,Secant,4.2311159102727744,0.9980700026426657,390.0,1850.3643229298707,4.7445239049483865,853.4710722110287,8.73876949660034,1.9846255693620378,0.0976649026551228,-107.42309641940315
700,3650,3.9,-108.23692941898874,2.035468506785918,823.135248612956,18.265571846500833,Secant,4.299062918495071,1.013888888888889,390.0,1826.5571846500834,4.68347996064124,867.7636110512061,8.76859454610531,2.035468506785918,0.09896267942239786,-108.23643466788914
700,3700,3.9,-109.073384182099,1.9024310185599091,827.3886112117405,18.099811583455676,Secant,4.337815777066998,1.0234769178871166,390.0,1809.9811583455676,4.640977329091199,877.7681300223481,8.540067093127156,1.9024310185599091,0.10278234590554389,-109.07337363695444
700,3750,3.9,-106.13443005967564,1.109869287850529,831.1318473714091,17.706976385116253,Secant,4.431130730979767,1.0417242055555183,390.0,1770.6976385116252,4.540250355158014,876.880149072661,9.769051711557251,1.109869287850529,0.08976103054457887,-106.13457905190606
