Propene_Frac,Ethylene_Frac,Flow_1_propene_kgh,Pressure_1_propene_kPa,F_ethylene_T_C,Power_kW,Converged
1.0,0.0,7784.145188839238,167.325,-31.0,0.0,True
0.95,0.050000000000000044,7436.755758816989,167.325,-31.0,0.0,True
0.9,0.09999999999999998,7015.400812302158,167.325,-31.0,0.0,True
0.85,0.15000000000000002,6639.522990523619,167.325,-31.0,0.0,True
