MassFlow_10_kg_h,P1_bar,ADJ4_Target_C,MinApproach_C,P7_bar,Power_kW,Note
500,3.0,-111.0,2.37,13.59,669.2,User Set (Verified)
600,3.5,-108.0,2.20,16.07,756.10,OK
700,4.1,-103.0,2.14,20.42,801.53,OK
800,4.3,-105.0,2.21,19.98,892.26,OK
900,4.8,-105.0,2.37,22.47,981.62,OK
1000,5.2,-104.0,2.25,23.50,1064.84,OK
1100,5.7,-102.0,2.24,27.35,1128.77,OK
1200,6.1,-102.0,2.02,28.87,1210.10,OK
1300,6.5,-99.0,2.23,30.95,1274.58,OK
1400,6.9,-100.0,2.12,31.58,1368.01,OK
1500,7.4,-97.0,2.02,35.40,1434.58,OK
