MassFlow,P_bar,T_C,MinApp_C,Power_kW
1300,6.5,-100,2.4524907004035157,1285.4695410560385
1200,6.1,-99,2.15352782294147,1191.8029855693549
1100,5.6,-101,2.0583463979141925,1113.923644193939
1000,5.2,-103,2.2929328150357264,1056.8735625453685
900,4.8,-104,2.472377657954894,984.5107705619062
800,4.4,-106,2.6266464691525755,919.7745978824762
700,3.9,-108,2.3781846069028774,831.362970686842
600,3.5,-107,2.124777779310591,747.5802491161352
500,3.0,-111,2.3779485943097,669.9020504261312
