Flow_Set,P_Set,T_Adj4_Set,Time,S1_Pres,S1_Temp,S1_Flow,S10_Flow,S6_Pres,Power,MA,UA,LMTD,Status
500,3.1,-109,17:54:46,3.1,35.86066331635601,12428.429495275317,500.0,14.296761287394457,206.54379380991628,1.5619174715254758,59.88507564373642,11.289584904430228,OK
500,3.1,-110,17:54:47,3.1,36.176039400129525,12428.429495275317,500.0,14.278539935212114,206.43682266809617,2.3020241075805643,61.72170905865686,11.015366450723068,OK
500,3.1,-111,17:54:49,3.1,36.47421560362761,12428.429495275317,500.0,14.261247883276972,206.3339996989359,3.0450431295172393,63.8078911957933,10.715145471296978,OK
500,3.1,-112,17:54:50,3.1,36.782402068631825,12428.429495275317,500.0,14.243301032527325,206.22716210690834,3.6663726164664396,66.16765882892388,10.39081182859011,OK
500,3.1,-113,17:54:52,3.1,37.090801704981914,12428.429495275317,500.0,14.2252578608084,206.12018207440119,3.357968628555696,68.81967509621958,10.04603849782587,OK
500,3.1,-114,17:54:54,3.1,37.39942776664918,12428.429495275317,500.0,14.207109158739145,206.01359304971143,3.049337468054034,71.80822867717163,9.681330290678059,OK
500,3.1,-115,17:54:55,3.1,37.70830569091328,12428.429495275317,500.0,14.188845102543729,205.9079551994312,2.7404537480604816,75.19749164222011,9.29602869353915,OK
500,3.1,-116,17:54:57,3.1,38.01746068552666,12428.429495275317,500.0,14.170455951189707,205.80386086710607,2.4312923259041526,79.07841719789684,8.888415359915289,OK
500,3.2,-109,17:55:36,3.2,34.40062754079605,12788.68396808573,500.0,14.92220952862642,213.34920693964165,2.2820304178093807,53.52738634317012,12.953160380016444,OK
500,3.2,-110,17:55:38,3.2,34.70962505541354,12788.683968085732,500.0,14.905189343144539,213.2361440322764,3.02533193643643,54.89924583721064,12.701390900223897,OK
500,3.2,-111,17:55:40,3.2,35.020162382388264,12788.683968085732,500.0,14.888016355203654,213.12598521440134,3.768941239175092,56.42687835926855,12.427616635651065,OK
500,3.2,-112,17:55:41,3.2,35.331121511797846,12788.683968085732,500.0,14.870652642081064,213.02609545250746,4.512805660020547,58.110309140339005,12.13573404432787,OK
500,3.2,-113,17:55:43,3.2,35.64229382503271,12788.683968085732,500.0,14.853235063071871,212.92588544050716,4.7941008366464715,59.95665779716479,11.828147939785422,OK
